Code,Description1,Description2,OnHand,Value
1200805002,ADHESIVE NON LUBE CLEANER ANTIRUST,"CLEANER & ANTI-RUST SPRAY,NON-OIL BASE",0, -   
1201206032,ADHESIVE O- RING SPLICING KIT LOCTITE,"W/METRIC O-RING CORDS,F/MECHANICAL WORKSHOP",2,700
1201206018,ADHESIVE RENATEC SILICON SC 2000,,205,"7,995"
1100301011,ADHESIVE RP-90 RAPID SPRAY,PENETRATING OIL ,5,700
1201206031,ADHESIVE RUBBER INSULATION TAPE,F/RM SPRAY SEALING L1000MM W50MM,0, -   
1300207044,ADHESIVE SEALING COMPOUND 600ML GREY,"F/AIRSLIDE OPEN 200,500 F/HOMO SILO BSF311-SO07",12,"1,792"
1310600873,ADHESIVE SEALING CONSTRUCTION FOAM,F/BAG HOUSE DOOR SEALING 334-DC25&325-DC05,59,"5,479"
1201206007,ADHESIVE SILICON HIGH TEMP.,,10,208
1201206006,ADHESIVE SILICON TUBE,,0, -   
1201201004,ADHESIVE SPRAY CONTACT,,0, -   
1300401123,AIR FILTER 590X290X20MM,PETRA F/AIR CONDITION,0, -   
1300401124,AIR FILTER 590X590X20MM,PETRA F/AIR CONDITION,0, -   
1321103054,NOZZLE AIR BLASTER  TYPE:N-100-030,DWG:BCC1 N-100 030,1,"3,286"
1321103052,NOZZLE AIR BLASTER  TYPE:N-100-180,DWG:BCC1 N-100180,1,"3,500"
1321103050,NOZZLE AIR BLASTER  TYPE:N-150-DN,DWG:BCC1 N-150DN,0, -   
1220502062,DIAPHRAGM RUBBER AIR BLASTER QEV,"MM-OVERSEAS,P/N:QV-100131",10,"16,429"
1220502061,RUBBER PAD AIR BLASTER  DN150,"MM-OVERSEAS,P/N:AB-150123",5,"11,621"
1320504052,AIR FILTER P/N:56 COM EL46004521-310,L1 COAL MILL GEARBOX SIEMENS ,1,"1,567"
1320501129,"AIR NOZZLE,D:524MM,DWG: 21/37923/0.3","F/COAL MILL,KILN BURNER TYPE:M.A.S/7/KO.EG.SO.X",1,"42,144"
1320501743,AIR SEAL PIPE DWG:158644,"F/ L2 COAL MILL SEAMLESS PIPE, W/ACCESSORIES",0, -   
1320501991,AIR SEAL PIPE GUIDE BUSHING DWG:170987-2,"F/ L2 COAL MILL P/N 607, DWG:170987-2",0, -   
1300214022,AIR UNIT A7070-C-E PT1/4,REGULATOR &VALVE,0, -   
1321300119,AIR UNIT AW20/AL20-F02-X64 G1/4,SMC W/NON RETURN VALVE F/DAT LINING MACHINE L#1,1,"2,285"
1300401053,AIR UNIT C4000-15-W RC1/2,"CKD FILTRE,REGULATOR&LUBRICATOR",7,"16,100"
1300403512,AIR UNIT F-R-L-1/2-T2-MANO,"P/N:20141259/02,REF.FCB1401758",1,"6,435"
1300214502,"AIR UNIT P/N: 34203088 G1/2""",NUMATICS L.S 2-WAY VALVE F/105VV01,1,"3,812"
1300401137,AIR UNIT P/N:107825.16 FR20MD,AVS COMPLETE 1.75 5 MICR. F/INTEGRATED FILTER,1,"29,401"
1300401110,AIR UNIT TYPE C6020-20-W-F,CKD W/REGULATOR,0, -   
1300401111,AIR UNIT TYPE SKILLAIR FR300,"METAL WORK,W/REGULATOR",0, -   
1300401522,AIR UNIT TYPE:1126-12C-F+2304-12C,"CKD,F/BYPASS & UPSTREAM BAG HOUSE",0, -   
1300101003,AIR UNIT TYPE:1138-6C-E 1X12 0-10BAR,CKD,0, -   
1300401047,AIR UNIT TYPE:1226-8C-F1,"CKD,PMAX1MPA,EQ.AM650-100",1,"11,515"
1300401138,AIR UNIT TYPE:A12FRR5,AVS COMPLETE 0.5  5 MICR.F/INTEGRATED FILTER,2,"5,980"
1300403502,AIR UNIT TYPE:AL20-F02-C+AW20-F02-C,"SMC,IKN REF.HZ04.06.0009,F/327CC01",3,"13,121"
