Id,Partition,Code,Description,Type,Extra,Shop,ShopExtra,Brand,BrandType,,,,,
,Public,226DA55,Secondary Air Fan,Damper,1,Homo,,,,,,,,
,Public,312DA63,Diverting Damper,Damper,1,Kiln1,,,,,,,,
,Public,312DA66,Diverting Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA35,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA37,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA55,Preheater Tertirary Air Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA59,Preheater Tertirary Air Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA73,SP Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA75,SP Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA81,Kiln Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,313DA83,Kiln Exhaust Gas Damper,Damper,1,Kiln1,,,,,,,,
,Public,314DA03,Secondary Air Fan,Damper,1,EP Filter,,,,,,,,
,Public,314DA55,Evaporative Cooler Inlet Damper,Damper,1,EP Filter,,,,,,,,
,Public,315DA03,Bucket Elevator Inching,Damper,1,Kiln1,,,,,,,,
,Public,315DA35,Distribution Damper,Damper,1,Kiln1,,,,,,,,
,Public,326DA31,KILN TERTIARY AIR DUCT DAMPER 1,Damper,2,Cooler2,,,,,,,,
,Public,326DA32,BURNER TERTIARY AIR DAMPER,Damper,2,Cooler2,,,,,,,,
,Public,328DA13,Damper,Damper,2,Kiln2,,,,,,,,
,Public,334DA13,Damper,Damper,2,Kiln2,,,,,,,,
,Public,334DA14,Damper,Damper,2,RMC,,,,,,,,
,Public,334DA17,Damper,Damper,2,Kiln2,,,,,,,,
,Public,436DA32,Damper,Damper,2,CMC,,,,,,,,
,Public,436DA33,Damper,Damper,2,CMC,,,,,,,,
,Public,623DA61,Motorized (AUMA) slide gate,Damper,2,Coal2,,,,,,,,
,Public,623DA75,Booster Fan damper,Damper,2,Coal2,,,,,,,,
,Public,623DA79,Inlet safety damper actuator,Damper,2,Coal2,,,,,,,,
,Public,623DA85,Damper in recirculation line,Damper,2,Coal2,,,,,,,,
,Public,623DA86,Damper ahead of mill fan,Damper,2,Coal2,,,,,,,,
,Public,623DA87,Safety damper,Damper,2,Coal2,,,,,,,,
,Public,623DA89,Exhaust gas damper,Damper,2,Coal2,,,,,,,,
,Public,216DB23,Mill Bypass Damper,Damper,1,RMA,,,,,,,,
,Public,216DB59,Mill Circulation Damper,Damper,1,RMA,,,,,,,,
,Public,216DB61,Exhaust Fan Outlet Damper,Damper,1,RMA,,,,,,,,
,Public,216DB63,Mill Department Outlet Damper,Damper,1,RMA,,,,,,,,
,Public,226DB23,Mill Bypass Damper,Damper,1,RMB,,,,,,,,
,Public,226DB59,Mill Cerculation Damper,Damper,1,RMB,,,,,,,,
