Id,Partition,Code,Description,Brand,BrandType,InstrumentType,SignalType,SupplyVoltage,Wiring,Communication,GalvanicIsolation,OperationalUnit,ScaleRange,LimitHH,LimitH,LimitL,LimitLL,Softawre,ExtraData
,Public,436DC19YP10,Diffrential Pressure at Filter,Endress+Hauser,Deltabar S PMD75,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0-200,0,0,150,180,,
,Public,436DT35YP10,Cement Mill Outlet Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-250,-250,-250,-100,0,,
,Public,436DT35YT10,Cement Mill Outlet Temperature,LOREM ,CNL45/PT100 Local,Thermometer,4…20mA,24V,2-wire,,,C,0-150,0,0,110,140,,
,Public,436DT36YP10,Mill Filter Outlet Pressure Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-500,-500,-500,0,0,,
,Public,436DT36YP20,Mill Beri Prope Differential Pressure Pressure,Endress+Hauser,Deltabar S PMD75,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0-75,0,0,75,75,,
,Public,436DT38YP10,TSV Exit Draft Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-500,-500,-500,-200,0,,
,Public,436DT38YT10,TSV Exit Temperature,LOREM ,CNL45/PT100 Local,Thermometer,4…20mA,24V,2-wire,,,C,0-150,0,0,90,110,,
,Public,436DT39YP10,Mill Filter Outlet Pressure Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0,-700,-700,0,0,,
,Public,436DT39YP20,Mill Beri Prope Differential Pressure Pressure,Endress+Hauser,Deltabar S PMD75,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0-75,0,0,25,25,,
,Public,436DT40YP10,TSV Inlet Pressure Pressure,Endress+Hauser,Cerabar S PMC71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,0,-300,-300,0,0,,
,Public,436SM26YF10,CM Rejects (t/h),DOSATEC,DEB-700,Flowmeter,4…20mA,230V,4-wire,,,t/h,0-510,0,0,400,510,,
,Public,436TR75YX10,Dust Emissions Stack,sick,SB100,,4…20mA,230V,4-wire,,,mg/m3,0-150,0,0,26,30,,
,Public,436WF05YF10,Clinker Weigh Feeder Flow Rate,Dosatec,DBNG 1200.11/SIGMA 5003,,4…20mA,230V,4-wire,ProfiBUS,,t/h,0-210,30,100,190,210,,
,Public,436WF05YW10,Clinker Bin Weigh ,Dosatec,DBNG 1200.11/SIGMA 5003,Weigh Sensor,4…20mA,230V,4-wire,ProfiBUS,,t ,0-250,160,210,245,250,,
,Public,436WF06YF10,Gypsum Weigh Feeder Flow Rate,Dosatec,DBNG 1200.02/SIGMA 5003,,4…20mA,230V,4-wire,ProfiBUS,,t/h,0-60,0,0,20,25,,
,Public,436WF06YW10,Gypsum Bin Weigh ,Dosatec,DBNG 1200.02/SIGMA 5003,Weigh Sensor,4…20mA,230V,4-wire,ProfiBUS,,t ,0-100,0,28,92,96,,
,Public,436WF07YF10,Slag  Weigh Feeder Flow Rate,Dosatec,DBNG 1000.02/SIGMA 5003,,4…20mA,230V,4-wire,ProfiBUS,,t/h,0-80,0,0,65,80,,
,Public,436WF07YW10,Slag Bin Weigh ,Dosatec,DBNG 1000.02/SIGMA 5003,Weigh Sensor,4…20mA,230V,4-wire,ProfiBUS,,t ,0-100,32,50,89,96,,
,Public,436WF08YF10,Limestone Weigh Feeder Flow Rate,Dosatec,DBNG 1000.02/SIGMA 5003,,4…20mA,230V,4-wire,ProfiBUS,,t/h,0-12,0,0,12,12,,
,Public,436WF08YW10,Limestone Bin Weigh ,Dosatec,DBNG 1000.02/SIGMA 5003,Weigh Sensor,4…20mA,230V,4-wire,ProfiBUS,,t ,0-100,0,4,60,0,,
,Public,642TN01YL10,Main Oil Storage Tank A  Leavel   ,E&H,SAKURA,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,20,22,75,85,,
,Public,642TN03YL10,Main Oil Storage Tank B  Leavel   ,E&H,SAKURA,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,20,22,75,85,,
,Public,910PP25YF10,Potable Water Outlet Pump Flow   ,ABB,  266DSH  ,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-60,0,1,45,51,,
,Public,910PP25YP10,Potable Water Outlet Pump Pressure   ,KENT,K-DCA 6.1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmh2o,0-100,20,50,90,95,,
,Public,910PP29YF10,Raw Water Flow   ,ABB,  266DSH  ,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-125,0,63,106,112,,
,Public,910PP41YP10,Industriel Water Outlet Pump Pressure   ,KENT,K-DCA 6.1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmh2o,0-100,0,37.2,85,91.75,,
,Public,910PP41YF10,Industriel Water Quantity Flow   ,ABB,  266DSH  ,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-170,20,20,144,153,,
,Public,910TN23YL10,Raw Water Storage Tank Level   ,E&H,FMU671 ULTRASONIC,Level Sensor,4…20mA,24V,2-wire,,,m3,0-5660,765,1785,5050,5100,,
,Public,910TN23YL20,Raw Water Storage Tank Level   ,E&H,FMU671 ULTRASONIC,Level Sensor,4…20mA,24V,2-wire,,,m3,0-5660,765,1785,5050,5100,,
,Public,910TN51YL10,Filtr Treated Wat. Storage Level Level   ,E&H,FMU671 ULTRASONIC,Level Sensor,4…20mA,24V,2-wire,,,m3,0-5660,765,4400,5200,5450,,
,Public,910TN51YL20,Filtr Treated Wat. Storage Level  Level   ,E&H,FMU671 ULTRASONIC,Level Sensor,4…20mA,24V,2-wire,,,m3,0-5660,765,4400,5200,5450,,
,Public,911TS19YL10,Potable Water Basin Level   ,E&H,FMU671 ULTRASONIC,Level Sensor,4…20mA,24V,2-wire,,,m3,0-3100,0,300,2850,2970,,
,Public,912PU05YF10,Industrial Water Inlet Cooler Flow   ,ABB,  266DSH  ,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-500,150,280,500,500,,
,Public,922TN07YP10,Compressed Air Tank Pressure  ,YOKOGAWA,EJA,Pressure Transmitter,4…20mA,24V,2-wire,,,mh2o,0-100,58,60,90,95,,
,Public,912RV01YF10,Flow Meter Industrial Hot Water Tank Flow   ,E&H,PROMAG 10,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-150,0,20,130,135,,
,Public,912RV01YL10,Level Industrial Hot Water Tank Level   ,VEGA,VEGASON 62 ,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,10,54,85,95,,
,Public,912RV01YL20,Level Industrial Cold Water Tank Level   ,VEGA,VEGASON 62 ,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,30,52,88,95,,
,Public,426XY33YP10,EP Outlet Gas  Pressure   ,KENT ,K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmh20,-300,-300,-270,-60,0,,
,Public,426XY33YT10,Bag Filter Gas Inlet Temperature,SIEMENS ,SITRANCE TF/ Local TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,135,147,,
,Public,426XY21YP10,Cement Mill Outlet Pressure,KENT ,K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmH2o,-300,-300,-150,-60,0,,
,Public,426XY21YT10,Cement Mill 2 Trunnion Brg. Feed Side Temp.   ,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,66,70,,
,Public,426XY21YT20,Cement Mill 2 Trunnion Brg. Disch Side Temp.   ,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,66,70,,
